onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.017	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.017	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.033	5.008	LEXICAL_DECISION	PSEUDOWORD	LOKYD	n/a	n/a
14.6	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
15.067	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
16.083	5.008	LEXICAL_DECISION	PSEUDOWORD	SAKMY	n/a	n/a
22.52	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
23.117	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.134	5.008	LEXICAL_DECISION	WORD	KASA	n/a	n/a
28.36	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
31.167	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.184	5.008	LEXICAL_DECISION	WORD	KŁA	n/a	n/a
37.84	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
39.217	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.233	5.009	LEXICAL_DECISION	WORD	KOMU	n/a	n/a
46.6	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
49.275	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.275	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.292	5.008	6_DOT_DETECTION	NO_6-DOT	DMSTY	n/a	n/a
61.344	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	FALSE_ALARM
62.325	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.342	5.008	6_DOT_DETECTION	NO_6-DOT	TMIA	n/a	n/a
66.824	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
70.375	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.392	5.008	6_DOT_DETECTION	6-DOT	##Ł	n/a	n/a
74.144	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.425	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
79.442	5.008	6_DOT_DETECTION	6-DOT	#U#	n/a	n/a
81.84	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
86.475	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
87.492	5.008	6_DOT_DETECTION	6-DOT	A#L#O	n/a	n/a
91.08	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
95.534	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
100.534	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
101.55	5.008	LEXICAL_DECISION	PSEUDOWORD	IKOB	n/a	n/a
107.2	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
108.584	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
109.6	5.008	LEXICAL_DECISION	WORD	LISA	n/a	n/a
114.68	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
116.634	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
117.65	5.008	LEXICAL_DECISION	PSEUDOWORD	COPIB	n/a	n/a
124.144	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
124.684	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
125.7	5.008	LEXICAL_DECISION	PSEUDOWORD	ŁODYT	n/a	n/a
132.734	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
132.744	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
133.75	5.008	LEXICAL_DECISION	PSEUDOWORD	AŁAB	n/a	n/a
139.84	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
142.292	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
