onset	duration	trial_type	braille_stimulus	targets	response_count
2.014	2.008	CUE_REST	n/a	n/a	n/a
7.014	1.008	FIXCROSS	n/a	n/a	n/a
13.064	1.008	FIXCROSS	n/a	n/a	n/a
21.122	2.008	CUE_6_DOT	n/a	n/a	n/a
26.122	1.008	FIXCROSS	n/a	n/a	n/a
27.139	5.008	6_DOT_DETECTION	USLLM	0	n/a
32.172	1.008	FIXCROSS	n/a	n/a	n/a
33.189	5.008	6_DOT_DETECTION	BAŁ#Ł	1	n/a
36.664	n/a	RESPONSE	n/a	n/a	1/1
38.222	1.008	FIXCROSS	n/a	n/a	n/a
39.239	5.008	6_DOT_DETECTION	#IŁPM	1	n/a
40.464	n/a	RESPONSE	n/a	n/a	1/1
44.272	1.008	FIXCROSS	n/a	n/a	n/a
45.289	5.008	6_DOT_DETECTION	BAT##	2	n/a
47.76	n/a	RESPONSE	n/a	n/a	1/2
48.784	n/a	RESPONSE	n/a	n/a	2/2
50.322	1.008	FIXCROSS	n/a	n/a	n/a
51.338	5.009	6_DOT_DETECTION	LACIC	0	n/a
56.372	1.008	FIXCROSS	n/a	n/a	n/a
57.389	5.008	6_DOT_DETECTION	I#YUK	1	n/a
58.984	n/a	RESPONSE	n/a	n/a	1/1
62.422	1.008	FIXCROSS	n/a	n/a	n/a
63.439	5.008	6_DOT_DETECTION	IDY#K	1	n/a
67.464	n/a	RESPONSE	n/a	n/a	1/1
68.16	n/a	RESPONSE	n/a	n/a	2/1
68.472	1.008	FIXCROSS	n/a	n/a	n/a
69.489	5.008	6_DOT_DETECTION	I#TUL	1	n/a
71.32	n/a	RESPONSE	n/a	n/a	1/1
76.03	2.008	CUE_REST	n/a	n/a	n/a
82.53	1.008	FIXCROSS	n/a	n/a	n/a
88.581	1.008	FIXCROSS	n/a	n/a	n/a
95.639	2.008	CUE_6_DOT	n/a	n/a	n/a
100.639	1.008	FIXCROSS	n/a	n/a	n/a
101.656	5.008	6_DOT_DETECTION	#CYK#	2	n/a
103.2	n/a	RESPONSE	n/a	n/a	1/2
104.84	n/a	RESPONSE	n/a	n/a	2/2
106.689	1.008	FIXCROSS	n/a	n/a	n/a
107.705	5.009	6_DOT_DETECTION	BOI##	2	n/a
110.28	n/a	RESPONSE	n/a	n/a	1/2
111.48	n/a	RESPONSE	n/a	n/a	2/2
112.739	1.008	FIXCROSS	n/a	n/a	n/a
113.755	5.009	6_DOT_DETECTION	PM#LA	1	n/a
116.064	n/a	RESPONSE	n/a	n/a	1/1
118.789	1.008	FIXCROSS	n/a	n/a	n/a
119.806	5.008	6_DOT_DETECTION	O#KUP	1	n/a
122.304	n/a	RESPONSE	n/a	n/a	1/1
124.839	1.008	FIXCROSS	n/a	n/a	n/a
125.856	5.008	6_DOT_DETECTION	#PSY#	2	n/a
126.944	n/a	RESPONSE	n/a	n/a	1/2
130.12	n/a	RESPONSE	n/a	n/a	2/2
130.889	1.008	FIXCROSS	n/a	n/a	n/a
131.905	5.009	6_DOT_DETECTION	IE##T	2	n/a
134.72	n/a	RESPONSE	n/a	n/a	1/2
135.624	n/a	RESPONSE	n/a	n/a	2/2
136.939	1.008	FIXCROSS	n/a	n/a	n/a
137.955	5.009	6_DOT_DETECTION	##ŁAT	2	n/a
138.96	n/a	RESPONSE	n/a	n/a	1/2
140.824	n/a	RESPONSE	n/a	n/a	2/2
142.989	1.008	FIXCROSS	n/a	n/a	n/a
144.005	5.009	6_DOT_DETECTION	IEYYŁ	0	n/a
150.547	2.008	CUE_REST	n/a	n/a	n/a
155.047	1.008	FIXCROSS	n/a	n/a	n/a
161.097	1.008	FIXCROSS	n/a	n/a	n/a
168.656	2.008	CUE_6_DOT	n/a	n/a	n/a
175.156	1.008	FIXCROSS	n/a	n/a	n/a
176.172	5.009	6_DOT_DETECTION	PUŁTM	0	n/a
181.206	1.008	FIXCROSS	n/a	n/a	n/a
182.222	5.008	6_DOT_DETECTION	PAS##	2	n/a
186.6	n/a	RESPONSE	n/a	n/a	1/2
187.256	1.008	FIXCROSS	n/a	n/a	n/a
188.272	5.008	6_DOT_DETECTION	#SIŁ#	2	n/a
189.4	n/a	RESPONSE	n/a	n/a	1/2
191.72	n/a	RESPONSE	n/a	n/a	2/2
193.306	1.008	FIXCROSS	n/a	n/a	n/a
194.322	5.008	6_DOT_DETECTION	#SOS#	2	n/a
195.32	n/a	RESPONSE	n/a	n/a	1/2
197.144	n/a	RESPONSE	n/a	n/a	2/2
199.356	1.008	FIXCROSS	n/a	n/a	n/a
200.372	5.008	6_DOT_DETECTION	##TOM	2	n/a
201.384	n/a	RESPONSE	n/a	n/a	1/2
202.504	n/a	RESPONSE	n/a	n/a	2/2
205.406	1.008	FIXCROSS	n/a	n/a	n/a
206.422	5.009	6_DOT_DETECTION	LLCSO	0	n/a
211.456	1.008	FIXCROSS	n/a	n/a	n/a
212.472	5.009	6_DOT_DETECTION	LUD#A	1	n/a
