onset	duration	trial_type
0.01	10.0	FIXCROSS
10.01	2.017	CUE_LEFT
12.035	12.001	LEFT
24.06	10.0	FIXCROSS
34.06	2.017	CUE_RIGHT
36.085	12.001	RIGHT
48.102	10.0	FIXCROSS
58.102	2.017	CUE_LEFT
60.127	12.001	LEFT
72.144	15.0	FIXCROSS
87.144	2.033	CUE_RIGHT
89.185	12.009	RIGHT
101.202	15.008	FIXCROSS
116.21	2.008	CUE_LEFT
118.227	12.01	LEFT
130.244	12.5	FIXCROSS
142.744	2.017	CUE_RIGHT
144.769	12.001	RIGHT
156.786	12.5	FIXCROSS
169.286	2.017	CUE_LEFT
171.31	12.001	LEFT
183.327	15.008	FIXCROSS
198.336	2.008	CUE_RIGHT
200.352	12.001	RIGHT
212.369	15.0	FIXCROSS
227.369	2.017	CUE_LEFT
229.394	12.009	LEFT
241.411	10.0	FIXCROSS
251.411	2.017	CUE_RIGHT
253.436	12.001	RIGHT
265.452	10.0	FIXCROSS
275.452	2.017	CUE_LEFT
277.477	12.001	LEFT
289.494	12.5	FIXCROSS
301.994	2.017	CUE_RIGHT
304.019	12.001	RIGHT
316.036	12.508	FIXCROSS
328.544	30.186	FINISHED
