onset	duration	trial_type	n_back_condition	trial_number	stimulus	response_type
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a
0.0635	1.0167	ISI	n/a	n/a	n/a	n/a
1.0802	0.5167	DISTRACTOR	1	1	G	Correct Rejection
1.5969	1.0167	ISI	n/a	n/a	n/a	n/a
2.6135	0.5167	DISTRACTOR	1	2	D	Correct Rejection
3.1302	1.0167	ISI	n/a	n/a	n/a	n/a
4.1469	0.5167	DISTRACTOR	1	3	I	Correct Rejection
4.6636	1.0167	ISI	n/a	n/a	n/a	n/a
5.6802	0.5167	DISTRACTOR	1	4	J	Correct Rejection
6.1969	1.0167	ISI	n/a	n/a	n/a	n/a
7.2136	0.5167	DISTRACTOR	1	5	I	Correct Rejection
7.7303	1.0167	ISI	n/a	n/a	n/a	n/a
8.7469	0.5167	DISTRACTOR	1	6	D	Correct Rejection
9.2636	1.0167	ISI	n/a	n/a	n/a	n/a
10.2803	0.5167	DISTRACTOR	1	7	F	Correct Rejection
10.797	1.0167	ISI	n/a	n/a	n/a	n/a
11.8136	0.5167	DISTRACTOR	1	8	D	Correct Rejection
12.3303	1.0167	ISI	n/a	n/a	n/a	n/a
13.347	0.5167	DISTRACTOR	1	9	J	Correct Rejection
13.8637	1.0167	ISI	n/a	n/a	n/a	n/a
14.8804	0.5167	DISTRACTOR	1	10	B	Correct Rejection
15.397	1.0167	ISI	n/a	n/a	n/a	n/a
16.4137	0.5167	DISTRACTOR	1	11	F	Correct Rejection
16.9304	1.0167	ISI	n/a	n/a	n/a	n/a
17.9471	0.5167	DISTRACTOR	1	12	B	Correct Rejection
18.4637	1.0167	ISI	n/a	n/a	n/a	n/a
19.4804	0.5167	DISTRACTOR	1	13	C	Correct Rejection
19.9971	1.0167	ISI	n/a	n/a	n/a	n/a
21.0138	0.5167	DISTRACTOR	1	14	D	Correct Rejection
21.5304	1.0167	ISI	n/a	n/a	n/a	n/a
22.5471	0.5167	DISTRACTOR	1	15	H	Correct Rejection
23.0638	1.0167	ISI	n/a	n/a	n/a	n/a
24.0805	0.5167	TARGET	1	16	H	Hit
24.5971	1.0167	ISI	n/a	n/a	n/a	n/a
24.634	n/a	RESPONSE	n/a	n/a	n/a	n/a
25.6138	0.5167	DISTRACTOR	1	17	J	Correct Rejection
26.1305	1.0167	ISI	n/a	n/a	n/a	n/a
27.1472	0.5167	DISTRACTOR	1	18	G	Correct Rejection
27.6638	1.0167	ISI	n/a	n/a	n/a	n/a
28.6805	0.5167	TARGET	1	19	G	Hit
29.049	n/a	RESPONSE	n/a	n/a	n/a	n/a
29.1972	1.0167	ISI	n/a	n/a	n/a	n/a
30.2139	0.5167	DISTRACTOR	1	20	B	Correct Rejection
30.7305	1.0167	ISI	n/a	n/a	n/a	n/a
31.7472	0.5167	DISTRACTOR	1	21	G	Correct Rejection
32.2639	1.0167	ISI	n/a	n/a	n/a	n/a
33.2806	0.5167	TARGET	1	22	G	Hit
33.7038	n/a	RESPONSE	n/a	n/a	n/a	n/a
33.7972	1.0167	ISI	n/a	n/a	n/a	n/a
34.8139	0.5167	DISTRACTOR	1	23	H	Correct Rejection
35.3306	1.0167	ISI	n/a	n/a	n/a	n/a
36.3473	0.5167	DISTRACTOR	1	24	C	Correct Rejection
36.8639	1.0167	ISI	n/a	n/a	n/a	n/a
37.8806	0.5167	DISTRACTOR	1	25	H	Correct Rejection
38.3973	1.0167	ISI	n/a	n/a	n/a	n/a
39.414	0.5167	DISTRACTOR	1	26	B	Correct Rejection
39.9306	1.0167	ISI	n/a	n/a	n/a	n/a
40.9473	0.5167	DISTRACTOR	1	27	I	Correct Rejection
41.464	1.0167	ISI	n/a	n/a	n/a	n/a
42.4807	0.5167	TARGET	1	28	I	Hit
42.8696	n/a	RESPONSE	n/a	n/a	n/a	n/a
42.9973	1.0167	ISI	n/a	n/a	n/a	n/a
44.014	0.5167	DISTRACTOR	1	29	C	Correct Rejection
44.5307	1.0167	ISI	n/a	n/a	n/a	n/a
45.5474	0.5167	DISTRACTOR	1	30	F	Correct Rejection
46.0641	1.0167	ISI	n/a	n/a	n/a	n/a
47.0807	0.5167	TARGET	1	31	F	Hit
47.4765	n/a	RESPONSE	n/a	n/a	n/a	n/a
47.5974	1.0167	ISI	n/a	n/a	n/a	n/a
48.6141	0.5167	DISTRACTOR	1	32	E	Correct Rejection
49.1308	1.0167	ISI	n/a	n/a	n/a	n/a
50.1474	0.5167	DISTRACTOR	1	33	A	Correct Rejection
50.6641	1.0167	ISI	n/a	n/a	n/a	n/a
