onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.028	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.028	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.5281	0.6667	T_INK	1	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
2.1755	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
2.1947	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.6947	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.6947	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.1948	1.6	T_INK	2	Incongruent	czerwony	red	żółty	yellow	hit	n/a
5.7747	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
5.7948	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.2948	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.2948	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.7948	0.6833	T_INK	3	Incongruent	zielony	green	czerwony	red	hit	n/a
8.4622	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
8.4781	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.9781	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9.9782	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.4782	0.85	T_INK	4	Neutral	xxxxxxx	xxxxxxx	żółty	yellow	hit	n/a
11.3096	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
11.3282	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.8282	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.8282	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.3449	0.7833	T_INK	5	Incongruent	żółty	yellow	czerwony	red	hit	n/a
14.0929	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
14.1282	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.6449	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.6616	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.1782	0.75	T_INK	6	Incongruent	czerwony	red	zielony	green	hit	n/a
16.9084	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
16.9282	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.4449	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.4616	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.9783	0.85	T_INK	7	Neutral	xxxxx	xxxxx	niebieski	blue	hit	n/a
19.8037	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
19.8283	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.3449	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
21.3616	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
21.8783	0.55	T_INK	8	Neutral	xxxxxxx	xxxxxxx	niebieski	blue	hit	n/a
22.3952	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
22.4283	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.945	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.9617	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.4783	0.7667	T_INK	9	Incongruent	zielony	green	żółty	yellow	hit	n/a
25.2266	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
25.245	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.7617	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
26.7784	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
27.295	0.8	T_INK	10	Neutral	xxxxxxxx	xxxxxxxx	zielony	green	hit	n/a
28.0739	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
28.095	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
28.6117	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.6284	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.1451	0.7333	T_INK	11	Neutral	xxxxxxxxx	xxxxxxxxx	zielony	green	hit	n/a
