onset	duration	trial_type	melody_number	melody_part	key	sound	action
0.0	14.081	CUE_START	n/a	n/a	n/a	n/a	n/a
14.082	7.76	FIXCROSS	n/a	n/a	n/a	n/a	n/a
21.841	6.324	CUE_LISTEN	M1	1	n/a	n/a	n/a
28.165	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
35.923	6.317	CUE_PLAYBACK_RIGHT_HAND	M1	1	n/a	n/a	n/a
36.538	n/a	RESPONSE	M1	1	19	G4	press
37.02	n/a	RESPONSE	M1	1	16	E4	press
37.06	n/a	RESPONSE	M1	1	19	G4	release
37.349	n/a	RESPONSE	M1	1	16	E4	release
37.548	n/a	RESPONSE	M1	1	16	E4	press
38.059	n/a	RESPONSE	M1	1	17	F4	press
38.115	n/a	RESPONSE	M1	1	16	E4	release
38.564	n/a	RESPONSE	M1	1	14	D4	press
38.607	n/a	RESPONSE	M1	1	17	F4	release
38.94	n/a	RESPONSE	M1	1	14	D4	release
39.115	n/a	RESPONSE	M1	1	14	D4	press
39.664	n/a	RESPONSE	M1	1	12	C4	press
39.667	n/a	RESPONSE	M1	1	14	D4	release
39.987	n/a	RESPONSE	M1	1	16	E4	press
40.209	n/a	RESPONSE	M1	1	12	C4	release
40.319	n/a	RESPONSE	M1	1	19	G4	press
40.4	n/a	RESPONSE	M1	1	16	E4	release
41.102	n/a	RESPONSE	M1	1	19	G4	release
42.24	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
49.998	6.317	CUE_LISTEN	        M1	2	n/a	n/a	n/a
56.315	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
64.073	6.325	CUE_PLAYBACK_RIGHT_HAND	        M1	2	n/a	n/a	n/a
64.502	n/a	RESPONSE	        M1	2	19	G4	press
64.982	n/a	RESPONSE	        M1	2	16	E4	press
65.043	n/a	RESPONSE	        M1	2	19	G4	release
65.354	n/a	RESPONSE	        M1	2	16	E4	release
65.517	n/a	RESPONSE	        M1	2	16	E4	press
66.0	n/a	RESPONSE	        M1	2	17	F4	press
66.045	n/a	RESPONSE	        M1	2	16	E4	release
66.49	n/a	RESPONSE	        M1	2	14	D4	press
66.532	n/a	RESPONSE	        M1	2	17	F4	release
66.847	n/a	RESPONSE	        M1	2	14	D4	release
66.983	n/a	RESPONSE	        M1	2	14	D4	press
67.318	n/a	RESPONSE	        M1	2	14	D4	release
67.535	n/a	RESPONSE	        M1	2	12	C4	press
67.814	n/a	RESPONSE	        M1	2	16	E4	press
67.93	n/a	RESPONSE	        M1	2	12	C4	release
68.123	n/a	RESPONSE	        M1	2	12	C4	press
68.175	n/a	RESPONSE	        M1	2	16	E4	release
68.933	n/a	RESPONSE	        M1	2	12	C4	release
70.398	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
78.157	6.317	CUE_LISTEN	        M7	1	n/a	n/a	n/a
84.474	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
